TITULO:,CATÁLOGO
UNIV LOS ANDES,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
UNIV MANITOBA,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
UNIV MARIBOR PRESS,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
UNIV MICHIGAN PRESS,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
"UNIV MICHIGAN, MUSEUM ANTHROPOL",<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
UNIV MINNESOTA PRESS,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
UNIV MUSEUM,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
UNIV NAC ABIERTA & DISTANCIA,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
"UNIV NAC COLOMBIA, FAC MEDICINA",<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
UNIV NACIONAL AUTONOMA MEXICO,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
UNIV NEBRASKA PRESS,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
UNIV NEBRASKA-LINCOLN LIBRARIES,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
UNIV NEW HAMPSHIRE PRESS,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
UNIV NEW MEXICO PRESS,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
UNIV NORTE,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
UNIV NORTH CAROLINA PRESS,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
UNIV NORTH TEXAS PRESS,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
UNIV NOTRE DAME PRESS,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
UNIV PALACKEHO V OLOMOUCI,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
UNIV PENNSYLVANIA MUSEUM ARCHAEOLOGY & ANTHROPOLOGY,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
UNIV PENNSYLVANIA PRESS,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
UNIV PITTSBURGH PRESS,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
UNIV POLITECNICA VALENCIA,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
UNIV PRESS COLORADO,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
UNIV PRESS FLORIDA,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
UNIV PRESS KENTUCKY,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
UNIV PRESS MISSISSIPPI,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
UNIV PRESS NEW ENGLAND,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
UNIV PRESS SOUTHERN DENMARK,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
UNIV PRESS VIRGINIA,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
UNIV PUTRA MALAYSIA,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
UNIV REMINGTON FONDO EDITORIAL,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
UNIV ROSARIO,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
UNIV SANTIAGO CALI,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
UNIV SANTO TOMAS,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
"UNIV SAO PAULO, ESCOLA COMUNICACOES & ARTES",<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
UNIV SERGIO ARBOLEDA,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
UNIV SILESIA,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
UNIV SONORA,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
UNIV SS CYRIL & METHODIUS TRNAVA-UCM TRNAVA,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
UNIV TARTU PRESS,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
UNIV TEXAS PRESS,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
UNIV UTARA MALAYSIA PRESS,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
UNIV UTARA MALAYSIA-UUM,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
UNIV VERACRUZANA,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
UNIV WALES PRESS,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
UNIV WARSAW PRESS,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
UNIV WASHINGTON PRESS,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
UNIV WEST BOHEMIA,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
UNIV WINTER GMBH,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
UNIV WISCONSIN PRESS,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
"UNIV ZAGREB, FAC MINING, GEOLOGY & PETROLEUM ENGINEERING",<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
"UNIVELT, INC.",<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
UNIVERSIDAD AUTONOMA DEL ESTADO DE MÉXICO,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
UNIVERSIDAD DE EXTREMADURA. SERVICIO DE PUBLICACIONES,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
UNIVERSIDAD DE LA RIOJA. SERVICIO DE PUBLICACIONES,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
UNIVERSIDAD DEL EXTERNADO DE COLOMBIA,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
UNIVERSIDAD DIEGO PORTALES,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO (UNAM),<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
"UNIVERSIDADE CATOLICA PORTUGUESA, CENTRO DE ESTUDOS DE HISTORIA RELIGIOSA",<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
UNIVERSIDADE DE LISBOA PRESS (ULISBOA),<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
UNIVERSITA DEGLI STUDI DI BARI,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
UNIVERSITA DI TORINO,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
UNIVERSITÀ DI TRENTO,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
UNIVERSITA GREGORIANA EDITRICE,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
UNIVERSITAS PRESS,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
UNIVERSITAT JAUME I. PUBLICACIONS,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
UNIVERSITÉ BORDEAUX MONTAIGNE,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
"UNIVERSITE DE CAEN, CENTRE DE RECHERCHES ARCHEOLOGIQUES ET HISTORIQUES MEDIEVALES",<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
UNIVERSITE DE GENEVE,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
UNIVERSITE DE LIEGE,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
"UNIVERSITE LAVAL, DEPARTEMENT DES LITTERATURES",<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
UNIVERSITY COLLEGE LONDON PRESS (UCL PRESS),<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
UNIVERSITY OF BIALYSTOK,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
"UNIVERSITY OF BOLOGNA, DEPARTMENT OF MATHEMATICS",<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
UNIVERSITY OF BRITISH COLUMBIA PRESS,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
UNIVERSITY OF CHICAGO PRESS,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
UNIVERSITY OF GRANADA,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
UNIVERSITY OF LJUBLJANA PRESS,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
UNIVERSITY OF MINNESOTA PRESS,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
UNIVERSITY OF PITTSBURGH PRESS,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
UNIVERSITY OF PRESOV,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
UNIVERSITY OF TURKU,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
URAL FEDERAL UNIV,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
URBAN LAND INSTITUTE,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
URBANOMIC MEDIA LTD,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
US DEPARTMENT OF HEALTH AND HUMAN SERVICES,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
US INST PEACE,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
US NATIONAL RESEARCH COUNCIL,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
"USC, EDITORA (UNIVERSIDADE SANTIAGO DE COMPOSTELA)",<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
USDA FOREST SERVICE,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
UTAH STATE UNIV PRESS,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
UTET (UNIONE TIPOGRAFICO-EDITRICE TORINESE),<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
UTS EPRESS,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
V D E VERLAG GMBH,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
VANDENHOECK & RUPRECHT,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
VANDENHOECK & RUPRECHT GMBH,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
VANDENHOECK AND RUPRECHT GMBH AND CO. KG,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
VANDENHOECK AND RUPRECHT VERLAGE,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
VANDERBILT UNIV PRESS,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
VDE VERLAG GMBH,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
VEB VERLAG VOLK GESUNDHEIT BERLIN,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
VERBUM,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
VERBUM-CATHOLIC UNIV RUZOMBEROK PRESS,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
VERLAG DER OSTERREICHISCHEN AKADEMIE DER WISSENSCHAFTEN,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
VERLAG DER ÖSTERREICHISCHEN AKADEMIE DER WISSENSCHAFTEN,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
VERLAG FERDINAND SCHOENINGH GMBH,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
VERLAG FUR RECHT UND GESELLSCHAFT AG (VRG),<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
VERLAG GEHLEN,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
VERLAG KARL ALBER GMBH,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
VERLAG MARIE LEIDORF GMBH,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
VERLAG OSTERREICHISCHEN AKAD WISSENSCHAFTEN,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
VERLAG PETER LANG AG,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
VERLAG PHILIPP VON ZABERN GMBH,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
"VERSITA, VERSITA LTD",<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
VERSO BOOKS,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
VIELLA,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
VIELLA LIBRERIA EDITRICE,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
VIEWEG,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
VIEWEG-TEUBNER VERLAG GMBH,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
"VILNIUS GEDIMINAS TECHNICAL UNIV PRESS, TECHNIKA",<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
VILNIUS UNIV PRESS,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
"VILNIUS UNIV, DEPT POLYMER CHEMISTRY",<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
VIRUS EDITORIAL,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
VISOR LIBROS,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
VIT KABOUREK,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
VITA E PENSIERO,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
VOJNOTEHNICKI INSTITUT,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
VS VERLAG SOZIALWISSENSCHAFTEN-GWV FACHVERLAGE GMBH,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
VSB-TECH UNIV OSTRAVA,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
VYDAVATELSTVI A NAKLADATELSTVI ALES CENEK,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
W BERTELSMANN VERLAG GMBH & CO KG,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
W KOHLHAMMER GMBH STUTTGART,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
W. BRAUMULLER,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
W. W. NORTON & COMPANY,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
